Fav,Pos,Race No,Share,Name,Net Time,Gender,Team,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,Finish
,50,2076,,VICTORIA HO MAY VERN,0:32:56,Female,Team 2075,Heat4 8:45:00 AM,0:00:04,0:02:41,0:04:34,0:08:30,0:13:29,0:15:24,0:18:32,0:21:05,0:22:24,0:25:45,0:27:50,0:31:25,0:32:56
,51,2010,,NUR FADHLINA ABDUL SATAR,0:33:01,Female,Team 2009,Heat1 8:00:00 AM,0:00:05,0:02:24,0:04:36,0:08:14,0:12:04,0:13:32,0:15:59,0:19:14,0:20:55,0:26:29,0:28:21,0:31:36,0:33:01
,52,2009,,NURLITA AYU ADAM,0:33:03,Female,Team 2009,Heat1 8:00:00 AM,0:00:04,0:02:25,0:04:37,0:08:17,0:12:07,0:13:35,0:17:25,0:19:15,0:21:02,0:26:29,0:28:23,0:31:47,0:33:03
,53,2043,,SOOK YEE CHIN,0:33:18,Female,Team 2043,Heat2 8:15:00 AM,0:00:04,0:02:47,0:04:55,0:09:19,0:13:56,0:15:28,0:18:40,0:20:42,0:22:12,0:26:41,0:28:26,0:31:20,0:33:18
,54,2044,,SYASYA SYANTINI PARAMASWARAN,0:33:19,Female,Team 2043,Heat2 8:15:00 AM,0:00:04,0:02:47,0:04:57,0:09:20,0:13:59,0:15:32,0:18:52,0:20:34,0:22:20,0:26:40,0:28:24,0:31:24,0:33:19
,55,2059,,TENGKU NIRWANA,0:33:37,Female,Team 2059,Heat3 8:30:00 AM,0:00:04,0:02:49,0:04:53,0:08:54,0:13:13,0:14:43,0:18:18,0:20:08,0:22:09,0:26:59,0:28:51,0:32:13,0:33:37
,56,2060,,ROSEHAYATY MOHD KHAIRUDDIN,0:33:37,Female,Team 2059,Heat3 8:30:00 AM,0:00:04,0:02:49,0:04:55,0:08:54,0:13:13,0:14:41,0:18:18,0:20:09,0:22:10,0:27:01,0:28:53,0:32:13,0:33:37
,57,2033,,JOLENE LEE,0:33:48,Female,Team 2033,Heat2 8:15:00 AM,0:00:03,0:02:25,0:04:35,0:09:12,0:14:44,0:16:08,0:19:24,0:21:37,0:23:34,0:27:23,0:29:23,0:32:28,0:33:48
,58,2034,,YI JING TAN,0:33:49,Female,Team 2033,Heat2 8:15:00 AM,0:00:03,0:02:28,0:04:33,0:09:10,0:14:43,0:16:10,0:19:25,0:21:39,0:23:38,0:27:24,0:29:24,0:32:29,0:33:49
,59,2066,,FATHIMATH MOHAMED,0:34:29,Female,Team 2065,Heat3 8:30:00 AM,0:00:03,0:02:57,0:05:22,0:09:22,0:13:27,0:15:11,0:18:39,0:21:03,0:22:35,0:27:46,0:29:33,0:33:04,0:34:29
,60,2065,,PHILLIPA YOONG,0:34:29,Female,Team 2065,Heat3 8:30:00 AM,0:00:04,0:02:57,0:05:22,0:09:19,0:13:24,0:15:11,0:18:38,0:21:02,0:22:30,0:27:48,0:29:34,0:33:02,0:34:29
,61,2028,,PING YEE POON,0:34:37,Female,Team 2027,Heat2 8:15:00 AM,0:00:03,0:02:26,0:04:15,0:07:46,0:12:27,0:14:19,0:18:16,0:20:51,0:22:13,0:28:02,0:29:40,0:33:17,0:34:37
,62,2027,,YING YEE POON,0:34:38,Female,Team 2027,Heat2 8:15:00 AM,0:00:03,0:02:26,0:04:16,0:07:48,0:12:28,0:14:23,0:18:19,0:20:56,0:22:24,0:27:59,0:29:41,0:33:19,0:34:38
,63,2004,,STEPH SONG,0:36:05,Female,Team 2003,Heat1 8:00:00 AM,0:00:02,0:02:16,0:04:22,0:07:31,0:11:26,0:14:20,0:17:52,0:19:22,0:20:57,0:30:09,0:31:52,0:34:40,0:36:05
,64,2106,,LAY KWAN CHUA,0:36:06,Female,Team 2105,Heat5 9:00:00 AM,0:00:04,0:02:32,0:04:45,0:08:41,0:13:39,0:15:30,0:19:27,0:21:57,0:23:27,0:29:48,0:31:23,0:34:27,0:36:06
,65,2105,,ANNONA CHOONG,0:36:07,Female,Team 2105,Heat5 9:00:00 AM,0:00:03,0:02:34,0:04:45,0:08:44,0:13:42,0:15:33,0:19:29,0:21:57,0:23:35,0:29:55,0:31:26,0:34:29,0:36:07
,66,2003,,LIP YEE CHUA,0:36:08,Female,Team 2003,Heat1 8:00:00 AM,0:00:00,0:01:13,0:04:29,0:04:31,0:11:32,0:14:30,0:17:54,0:19:22,0:21:10,0:30:15,0:31:55,0:34:47,0:36:08
,67,2011,,MARYAM YAHYA,0:36:22,Female,Team 2011,Heat1 8:00:00 AM,0:00:04,0:02:31,0:05:06,0:09:49,0:14:24,0:15:50,0:19:47,0:22:04,0:24:12,0:29:33,0:31:21,0:34:52,0:36:22
,68,2012,,CHANG CHIEW MING,0:36:22,Female,Team 2011,Heat1 8:00:00 AM,0:00:04,0:02:32,0:05:10,0:09:50,0:14:25,0:15:51,0:19:52,0:22:07,0:24:12,0:29:34,0:31:20,0:34:49,0:36:22
,69,2073,,YI MEI KOH,0:36:27,Female,Team 2073,Heat4 8:45:00 AM,0:00:08,0:03:23,0:05:34,0:09:08,0:14:31,0:16:10,0:20:37,0:22:42,0:25:00,0:29:10,0:31:02,0:34:56,0:36:27
,70,2074,,SHERYL HO,0:36:28,Female,Team 2073,Heat4 8:45:00 AM,0:00:08,0:03:23,0:05:32,0:09:10,0:14:30,0:16:09,0:20:39,0:22:41,0:25:03,0:29:13,0:31:01,0:34:55,0:36:28
